occupations
technical director
metal drawing machine operator
precision device inspector
air traffic safety technician
hospitality revenue manager
medical laboratory assistant
asphalt laboratory technician
primary school teaching assistant
physiotherapist
performing arts theatre instructor
hydrogenation machine operator
pasta operator
tobacco shop manager
rental service representative in machinery equipment and tangible goods
mine surveyor
food safety specialist
land based machinery technician
bus driver
import export manager in meat and meat products
housing policy officer
head chef
nonwoven filament machine operator
head of higher education institutions
insulation supervisor
dismantling engineer
insurance claims handler
clothing development manager
nitroglycerin separator operator
biomedical engineer
legal guardian
weaver
tile fitter
shoe and leather accessories shop manager
tour operators manager
bee breeder
legal administrative assistant
petroleum pump system operator
protective clothing apparel manufacturer
coating machine operator
aquaculture hatchery manager
gear machinist
rooms division manager
ceramic painter
telecommunications engineer
adult literacy teacher
footwear quality manager
sprinkler fitter
electronic and telecommunications equipment and parts distribution manager
special educational needs teacher secondary school
performance production manager
metal production manager
aircraft engine assembler
quarry engineer
audiology equipment shop manager
hardware and paint specialised seller
primary school teacher
tram driver
container equipment assembly supervisor
warehouse operator for clothing
administrative assistant
coffee grinder
medical administrative assistant
ICT security administrator
bricklaying supervisor
slate mixer
marine engineering technician
auction house manager
software analyst
accounting manager
foundry manager
telecommunications technician
promotions demonstrator
maritime instructor
foreign exchange trader
aerospace engineering technician
table saw operator
bridge construction supervisor
bricklayer
meat cutter
criminologist
video operator
fish and seafood specialised seller
oil and gas production manager
metallurgical technician
spinning textile technician
resilient floor layer
textile quality technician
curing room worker
enameller
recruitment consultant
actuarial consultant
lighting designer
dance répétiteur
automotive battery technician
footwear designer
public employment service manager
clothing product grader
public administration manager
credit analyst
plumbing supervisor
securities analyst
dancer
bespoke footwear technician
judge
puppet designer
flexographic press operator
integration engineer
weather forecaster
street artist
spa manager
professional athlete
specialised veterinarian
automated fly bar operator
commissioning technician
branch manager
search engine optimisation expert
water network operative
green coffee buyer
economics lecturer
motor vehicles parts advisor
hairdresser
art restorer
presenter
golf instructor
domestic energy assessor
membership administrator
hand lasting operator
nanny
wholesale merchant in perfume and cosmetics
riveter
stringed musical instrument maker
textile pattern making machine operator
ICT test analyst
hydraulic forging press worker
tissue paper perforating and rewinding operator
animal massage therapist
aircraft engine specialist
boxing instructor
animal care attendant
shop assistant
fleet commander
animal therapist
paramedic in emergency responses
door installer
fluid power technician
corporate trainer
steam engineer
medicine lecturer
telephone switchboard operator
doctors' surgery assistant
cable jointer
horse riding instructor
delivery driver
digital forensics expert
medical device engineer
telecommunication equipment shop manager
import export manager in agricultural machinery and equipment
quantity surveyor
vessel operations coordinator
historian
ICT security consultant
chemical production manager
child care social worker
air traffic manager
ICT teacher secondary school
lime kiln operator
water based aquaculture technician
meteorology technician
chemist
ammunition specialised seller
sound operator
laundry worker
biotechnical technician
granulator machine operator
audio describer
construction general supervisor
chief marketing officer
field survey manager
boring machine operator
musical conductor
leather goods production supervisor
renewable energy engineer
microelectronics engineering technician
tower crane operator
refurbishing technician
investment manager
call centre agent
fur animals breeder
secretary of state
intelligent lighting engineer
missionary
rolling stock engineering technician
real estate manager
civil engineering technician
court clerk
textile designer
pharmaceutical quality specialist
water conservation technician
briquetting machine operator
sectional belt mould assembler
candy machine operator
chef
pharmacologist
ICT disaster recovery analyst
filigree maker
teacher of talented and gifted students
embedded system designer
software tester
twisting machine operator
mine manager
optical technician
university teaching assistant
quality services manager
sporting accessories specialised seller
learning support teacher
renewable energy consultant
sports instructor
sociology lecturer
gambling betting and lottery games designer
production engineering technician
environmental education officer
kinesiologist
cosmetic chemist
environmental scientist
sociologist
industrial cook
clock and watchmaker
footwear product developer
import export manager in machinery industrial equipment ships and aircraft
blending plant operator
tyre vulcaniser
coquille casting worker
ICT help desk manager
bookshop specialised seller
hydroelectric plant operator
crossing guard
gunsmith
rail switchperson
business economics researcher
corporate social responsibility manager
water engineering technician
campaign canvasser
online community manager
home care aide
waste management supervisor
textile industry machinery distribution manager
customer service representative
music director
clothing specialised seller
special educational needs head teacher
commercial sales representative
semiconductor processor
footwear factory warehouse operator
gambling manager
product development manager
hand brick moulder
medical records clerk
horse breeder
